# call_id> primární klíč
# finish_time> čas ukončení hovoru
# length> délka hovoru
# time_block> časový blok po 15 minutách
# workstation_address> ID pracovní stanice (počítače)
# target_time_block_id>
# source_time_block_id
# target_service_cdn>
# source_service_cdn>
# source_service_id>
# target_service_id>
# operator> telefonní operátor (O2, T-mobile...)
# wup_question_id> z ope_wup_logs
# wup_answer_id z ope_wup_logs

"call_id","finish_time","length","time_block","workstation_address","target_time_block_id","source_time_block_id","target_service_cdn","source_service_cdn","source_service_id","target_service_id","operator","wup_question_id","wup_answer_id"
"00001061081409133838","2014-08-27 12:03:59","20","2014-08-27 12:00:00","33402","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"","2014-01-11 14:45:00","139","2014-01-11 14:45:00","33608","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"00001149151411360225","2014-09-22 06:30:27","20","2014-09-22 06:30:00","34810","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"","2014-01-14 13:57:00","33","2014-01-14 13:45:00","33306","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"","2014-02-22 19:31:00","272","2014-02-22 19:30:00","33203","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"","2014-04-29 09:54:00","33","2014-04-29 09:45:00","33705","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"00001011191402770199","2014-06-14 20:23:20","58","2014-06-14 20:15:00","33501","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"00001125551406728147","2014-07-30 15:49:08","19","2014-07-30 15:45:00","33508","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"00001085181408359998","2014-08-18 13:06:39","130","2014-08-18 13:00:00","33804","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"","2013-10-10 07:34:00","84","2013-10-10 07:30:00","33506","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"","2014-01-24 14:51:00","41","2014-01-24 14:45:00","33507","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"","2013-12-21 14:36:00","119","2013-12-21 14:30:00","33211","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"","2013-11-25 16:17:00","27","2013-11-25 16:15:00","33705","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"","2013-12-28 11:37:00","48","2013-12-28 11:30:00","33704","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"","2014-05-05 08:01:00","21","2014-05-05 08:00:00","33802","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"","2014-04-24 18:10:00","80","2014-04-24 18:00:00","33803","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"00001099951404469870","2014-07-04 12:31:11","61","2014-07-04 12:30:00","34201","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"","2014-04-10 17:24:00","41","2014-04-10 17:15:00","33704","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"00001095321406972076","2014-08-02 11:34:37","29","2014-08-02 11:30:00","33405","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"00001021681412016698","2014-09-29 20:51:39","45","2014-09-29 20:45:00","33507","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"","2013-11-06 09:25:00","20","2013-11-06 09:15:00","33606","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"","2014-01-23 10:46:00","89","2014-01-23 10:45:00","33109","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"","2013-10-03 17:41:00","20","2013-10-03 17:30:00","34706","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"00001116311412320874","2014-10-03 09:21:15","17","2014-10-03 09:15:00","33705","NULL","NULL","12999","12801","7","6","-2","NULL","NULL"
"","2014-05-08 11:47:00","22","2014-05-08 11:45:00","33708","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"00001015461409209114","2014-08-28 08:58:35","22","2014-08-28 08:45:00","33701","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"","2013-12-06 07:51:00","103","2013-12-06 07:45:00","33403","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"00001018381402078451","2014-06-06 20:14:13","64","2014-06-06 20:00:00","33610","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"00001025011410764459","2014-09-15 09:01:00","45","2014-09-15 09:00:00","33708","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"00001131301404372497","2014-07-03 09:28:18","22","2014-07-03 09:15:00","33607","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"","2013-12-28 23:39:00","68","2013-12-28 23:30:00","34611","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"","2014-01-18 14:34:00","71","2014-01-18 14:30:00","33107","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"","2014-06-03 08:52:00","56","2014-06-03 08:45:00","34507","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
